0,Adoor Prakash,INC,1,Post Graduate,60,"Rs 10,13,64,904 ~ 10 Crore+","Rs 1,51,74,875 ~ 1 Crore+",PATHANAMTHITTA,Kerala2016,0
1,Adv K Sivadasan Nair,INC,1,Post Graduate,67,"Rs 85,03,359 ~ 85 Lacs+","Rs 18,362 ~ 18 Thou+",PATHANAMTHITTA,Kerala2016,0
2,Adv. R. Sanal Kumar,CPI(M),3,Post Graduate,47,"Rs 79,18,191 ~ 79 Lacs+","Rs 17,17,603 ~ 17 Lacs+",PATHANAMTHITTA,Kerala2016,0
3,Ajitha,IND,0,10th Pass,45,"Rs 10,250 ~ 10 Thou+",Rs 0 ~,PATHANAMTHITTA,Kerala2016,0
4,Akkeraman Kalidasan Bhattathiripad,Bharath Dharma Jana Sena,0,12th Pass,52,"Rs 2,80,82,636 ~ 2 Crore+","Rs 35,02,266 ~ 35 Lacs+",PATHANAMTHITTA,Kerala2016,0
5,Anil Kumar K G,SUCI(C),0,Graduate,47,"Rs 90,000 ~ 90 Thou+",Rs 0 ~,PATHANAMTHITTA,Kerala2016,7
6,Ashoka Kumar D,BJP,0,Graduate Professional,53,"Rs 4,51,57,611 ~ 4 Crore+","Rs 62,17,720 ~ 62 Lacs+",PATHANAMTHITTA,Kerala2016,0
7,Biju Elamannoor,IND,0,12th Pass,37,"Rs 3,58,000 ~ 3 Lacs+",Rs 0 ~,PATHANAMTHITTA,Kerala2016,0
8,Chandran,IND,0,8th Pass,59,"Rs 10,250 ~ 10 Thou+",Rs 0 ~,PATHANAMTHITTA,Kerala2016,0
9,Cherian M V,IND,0,10th Pass,62,"Rs 36,75,584 ~ 36 Lacs+",Rs 0 ~,PATHANAMTHITTA,Kerala2016,0
10,Chittayam Gopakumar,CPI,0,10th Pass,50,"Rs 18,96,205 ~ 18 Lacs+","Rs 6,46,466 ~ 6 Lacs+",PATHANAMTHITTA,Kerala2016,0
11,Fawseena Thakbeer,SDPI,0,Graduate Professional,27,"Rs 16,24,643 ~ 16 Lacs+","Rs 5,35,413 ~ 5 Lacs+",PATHANAMTHITTA,Kerala2016,0
12,Geethamma Madhavan,IND,0,10th Pass,37,"Rs 1,10,200 ~ 1 Lacs+",Rs 0 ~,PATHANAMTHITTA,Kerala2016,0
13,Habeeb Rahman,Peoples Democratic Party,0,8th Pass,52,"Rs 34,81,235 ~ 34 Lacs+","Rs 9,45,000 ~ 9 Lacs+",PATHANAMTHITTA,Kerala2016,0
14,Joseph M Puthussery,Kerala Congress (M),0,Graduate Professional,57,"Rs 97,09,598 ~ 97 Lacs+","Rs 2,10,544 ~ 2 Lacs+",PATHANAMTHITTA,Kerala2016,0
15,Joshi Joseph,Welfare Party Of India,0,8th Pass,39,"Rs 11,92,198 ~ 11 Lacs+","Rs 3,30,000 ~ 3 Lacs+",PATHANAMTHITTA,Kerala2016,0
16,Jyothish M R,SDPI,0,10th Pass,44,"Rs 46,000 ~ 46 Thou+",Rs 0 ~,PATHANAMTHITTA,Kerala2016,0
17,M T Ramesh,BJP,1,Graduate,45,"Rs 14,14,000 ~ 14 Lacs+","Rs 2,00,000 ~ 2 Lacs+",PATHANAMTHITTA,Kerala2016,7
18,Mariamma Cherian,INC,0,12th Pass,69,"Rs 1,61,02,355 ~ 1 Crore+",Rs 0 ~,PATHANAMTHITTA,Kerala2016,0
19,Mathew T Thomas,JD(S),4,Graduate Professional,54,"Rs 1,15,49,368 ~ 1 Crore+","Rs 2,68,972 ~ 2 Lacs+",PATHANAMTHITTA,Kerala2016,0
20,Padmakumar K,Bharath Dharma Jana Sena,3,Others,51,"Rs 3,99,59,492 ~ 3 Crore+","Rs 28,47,664 ~ 28 Lacs+",PATHANAMTHITTA,Kerala2016,0
21,Prasad Uthimoodu,BSP,0,8th Pass,40,"Rs 1,32,000 ~ 1 Lacs+","Rs 50,000 ~ 50 Thou+",PATHANAMTHITTA,Kerala2016,0
22,Raju Abraham,CPI(M),1,Graduate,54,"Rs 66,60,166 ~ 66 Lacs+","Rs 6,70,437 ~ 6 Lacs+",PATHANAMTHITTA,Kerala2016,7
23,Reyash,SDPI,0,10th Pass,36,"Rs 6,39,850 ~ 6 Lacs+",Rs 0 ~,PATHANAMTHITTA,Kerala2016,0
24,Saji Kadampanad,BSP,0,10th Pass,35,"Rs 84,000 ~ 84 Thou+",Rs 0 ~,PATHANAMTHITTA,Kerala2016,0
25,Santhosh Kumar S,BSP,1,12th Pass,40,"Rs 5,000 ~ 5 Thou+",Rs 0 ~,PATHANAMTHITTA,Kerala2016,0
26,Shaji Mezhuveli,IND,0,Not Given,49,Nil,Rs 0 ~,PATHANAMTHITTA,Kerala2016,0
27,Shaju,INC,0,10th Pass,53,"Rs 29,12,551 ~ 29 Lacs+","Rs 4,22,280 ~ 4 Lacs+",PATHANAMTHITTA,Kerala2016,0
28,Simi M Jacob,SDPI,0,Graduate Professional,32,"Rs 2,89,000 ~ 2 Lacs+","Rs 3,00,000 ~ 3 Lacs+",PATHANAMTHITTA,Kerala2016,0
29,Sreekanth M Vallakkottu,SP,0,Graduate,44,"Rs 9,68,326 ~ 9 Lacs+","Rs 10,41,000 ~ 10 Lacs+",PATHANAMTHITTA,Kerala2016,7
30,Sudheer P,BJP,8,Graduate Professional,34,"Rs 3,34,736 ~ 3 Lacs+",Rs 0 ~,PATHANAMTHITTA,Kerala2016,0
31,Suresh V,IND,0,10th Pass,30,"Rs 6,000 ~ 6 Thou+",Rs 0 ~,PATHANAMTHITTA,Kerala2016,0
32,T Amrithakumar,BSP,0,Graduate Professional,50,"Rs 17,04,400 ~ 17 Lacs+","Rs 4,75,000 ~ 4 Lacs+",PATHANAMTHITTA,Kerala2016,0
33,Varughese Thomas,IND,0,10th Pass,51,"Rs 53,80,000 ~ 53 Lacs+","Rs 8,35,000 ~ 8 Lacs+",PATHANAMTHITTA,Kerala2016,0
34,Veena George,CPI(M),0,Post Graduate,39,"Rs 1,63,47,050 ~ 1 Crore+","Rs 58,91,545 ~ 58 Lacs+",PATHANAMTHITTA,Kerala2016,0
35,Vishnu Raj T,Peoples Democratic Party,0,10th Pass,25,Rs 750 ~ 7 Hund+,Rs 0 ~,PATHANAMTHITTA,Kerala2016,0
36,Vishnu S,SHS,0,10th Pass,26,"Rs 1,500 ~ 1 Thou+",Rs 0 ~,PATHANAMTHITTA,Kerala2016,0